sex,age,address
F,18,U
F,17,U
F,15,U
F,15,U
F,16,U
M,16,U
M,16,U
F,17,U
M,15,U
M,15,U
F,15,U
F,15,U
M,15,U
M,15,U
M,15,U
F,16,U
F,16,U
F,16,U
M,17,U
M,16,U
M,15,U
M,15,U
M,16,U
M,16,U
F,15,R
F,16,U
M,15,U
M,15,U
M,16,U
M,16,U
M,15,U
M,15,U
M,15,R
M,15,U
M,16,U
F,15,U
M,15,U
M,16,R
F,15,R
F,15,R
F,16,U
M,15,U
M,15,U
M,15,U
F,16,U
F,15,U
F,16,U
M,16,U
M,15,U
F,15,U
F,16,U
F,15,U
M,15,U
F,15,U
F,15,U
F,16,U
F,15,U
M,15,U
M,15,U
F,16,U
F,16,R
F,16,U
F,16,U
F,16,U
F,15,U
F,16,U
M,15,U
F,16,U
F,15,R
F,15,R
M,16,U
M,15,U
F,15,R
M,16,U
F,16,U
M,15,U
M,15,U
F,16,U
M,17,U
F,16,U
M,15,U
M,15,U
F,15,U
M,15,U
F,15,U
F,15,U
F,16,U
F,15,U
M,16,U
M,16,U
F,16,U
F,15,U
F,16,U
F,16,U
M,15,U
F,15,R
M,16,R
F,16,U
F,16,U
F,16,U
M,16,U
M,16,U
M,15,U
F,15,U
M,15,U
F,15,U
F,15,U
M,16,U
M,15,R
F,16,U
M,15,U
F,16,R
F,16,U
M,15,U
M,15,R
M,16,U
M,15,U
M,16,U
M,17,R
M,15,U
F,15,U
M,15,U
F,16,U
M,16,U
F,16,U
M,15,U
F,15,U
F,19,U
M,18,R
M,16,R
F,15,R
F,15,U
F,17,U
F,16,U
M,15,R
F,15,U
M,17,R
F,16,U
M,16,U
F,15,U
M,15,U
M,16,U
F,15,U
F,16,U
M,17,U
F,15,U
F,15,U
F,15,U
M,16,U
M,15,U
M,18,U
M,16,U
F,15,R
M,19,U
F,17,U
M,15,R
M,17,R
F,18,R
M,16,R
M,16,U
M,17,R
M,15,R
M,16,U
M,17,U
M,17,R
M,16,U
M,16,U
F,16,U
F,16,U
F,16,U
M,16,U
M,16,U
M,17,U
F,16,U
F,16,U
M,17,U
F,16,U
M,17,U
M,16,R
M,17,U
M,16,U
M,16,U
F,17,U
F,17,U
F,16,U
M,17,U
M,16,U
M,16,U
F,17,U
M,17,R
F,16,U
F,17,U
M,17,U
M,16,R
M,16,U
F,17,U
M,17,U
M,16,R
F,17,U
F,16,U
F,16,U
F,16,U
F,17,U
F,17,R
F,16,R
F,17,U
F,16,U
F,16,U
F,16,U
F,17,R
F,19,U
M,17,U
F,16,U
M,18,U
F,17,R
F,17,U
F,17,U
M,18,U
F,17,U
F,17,U
F,17,R
F,17,U
F,16,U
M,18,U
F,16,U
F,18,R
F,17,U
M,17,U
M,18,U
F,17,U
F,17,U
M,17,R
M,17,U
M,16,U
M,16,U
M,16,U
M,17,U
F,16,U
F,17,R
M,18,U
M,17,U
M,17,R
M,16,U
M,16,U
F,18,U
M,16,U
M,17,U
M,22,U
M,18,R
M,16,U
M,18,U
M,16,U
M,18,U
M,16,R
M,17,R
M,17,U
F,17,U
M,19,U
M,18,U
F,17,U
F,18,U
M,18,U
M,18,R
F,17,U
F,18,U
M,18,R
M,17,U
F,18,R
M,18,U
F,18,R
F,19,U
F,18,U
F,18,U
M,17,R
F,17,U
F,17,U
F,18,R
M,18,U
F,18,U
M,18,U
M,17,U
M,17,U
F,18,R
F,18,U
F,17,U
M,17,U
F,18,U
F,17,U
M,18,U
M,18,U
M,18,U
F,17,U
F,18,U
F,17,R
M,18,R
M,17,U
F,19,U
F,18,U
F,18,U
M,18,U
F,18,U
M,17,U
F,17,U
F,17,U
M,19,U
F,18,U
M,20,U
M,19,U
M,19,R
F,19,U
F,19,U
F,19,U
M,19,U
F,19,U
F,19,U
F,19,R
F,18,U
F,18,U
F,17,R
F,18,U
F,17,U
F,17,U
F,17,R
F,17,U
F,17,U
M,18,U
M,17,U
M,17,R
F,17,U
F,17,U
M,18,U
F,17,R
F,18,U
F,18,U
F,18,R
F,17,U
F,19,R
F,17,U
F,18,U
F,17,R
F,19,U
M,18,U
M,18,U
F,17,U
F,18,U
F,18,U
M,18,R
M,18,U
F,17,U
M,18,R
M,19,R
M,17,U
M,18,U
M,19,R
M,17,R
F,18,U
F,17,R
F,17,U
M,18,U
F,18,U
F,18,R
M,18,R
F,18,U
F,17,U
F,17,R
M,18,R
M,18,U
F,17,R
F,18,U
F,18,R
F,19,U
M,18,R
F,17,U
F,17,R
F,18,R
F,18,R
F,20,U
F,18,R
F,18,U
F,17,R
M,18,U
M,18,R
M,17,U
M,19,R
M,18,R
F,18,R
F,18,R
F,19,R
F,18,U
F,18,U
M,20,U
M,17,U
M,21,R
M,18,R
M,19,U
